ID,Location1,Location2,Distance_km
125,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Pachońskiego – Sosabowskiego – Trasa Wolbromska,6.552484327230827
126,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,al. Mickiewicza – Piłsudskiego – Focha,1.5616915814136287
127,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,al. Mickiewicza – Reymonta,2.0497966424046683
128,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,al. Słowackiego – Prądnicka – Długa,3.300056595759153
129,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Beliny-Prażmowskiego – Brodowicza,3.7056857841369424
130,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),1.7133900983615644
131,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Zakopiańska – Wadowicka – Tischnera – Brożka,2.123873040384692
132,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,1.7055354881405438
133,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,2.8889922462463278
134,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Bratysławska – Doktora Twardego – Wybickiego,4.366902988671595
135,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Piastowska – Lea,3.208197469037425
136,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Armii Krajowej – Zarzecze,4.107419405705053
137,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,1.8483164275878703
138,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Piastowska – Armii Krajowej – Nawojki,3.0016478064894287
139,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Herberta – Turowicza – Trasa Łagiewnicka,3.815683851161728
140,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Witosa – Nowosądecka – Łużycka,4.73292914529347
141,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Wielicka – Nowosądecka,4.805284679669969
142,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Wielicka – Teligi – Kostaneckiego,6.605013880654129
143,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,9.739320731940296
144,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,7.4047840881144396
145,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,al. 29 Listopada – Opolska – Lublańska,5.111853784036294
146,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Ks. Józefa – Jodłowa,3.524567586583338
147,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Zakopiańska – Jugowicka – Zawiła,4.276457270677342
148,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Mogilska – Lema – al. Jana Pawła II – Meissnera,5.289740846937013
149,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Księcia Józefa – Most Zwierzyniecki,1.331468616110207
150,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Pachońskiego – Sosabowskiego – Trasa Wolbromska,5.512418312341396
151,Zakopiańska – Wadowicka – Tischnera – Brożka,al. Mickiewicza – Piłsudskiego – Focha,3.4623092861733658
152,Zakopiańska – Wadowicka – Tischnera – Brożka,al. Mickiewicza – Reymonta,3.971228815492851
153,Zakopiańska – Wadowicka – Tischnera – Brożka,al. Słowackiego – Prądnicka – Długa,4.957452080038657
154,Zakopiańska – Wadowicka – Tischnera – Brożka,Beliny-Prażmowskiego – Brodowicza,4.628883177321362
155,Zakopiańska – Wadowicka – Tischnera – Brożka,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),0.8608507359775606
156,Zakopiańska – Wadowicka – Tischnera – Brożka,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,2.123873040384692
157,Zakopiańska – Wadowicka – Tischnera – Brożka,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,0.7857351454310915
158,Zakopiańska – Wadowicka – Tischnera – Brożka,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,2.27208586287807
159,Zakopiańska – Wadowicka – Tischnera – Brożka,Bratysławska – Doktora Twardego – Wybickiego,6.105649534693236
160,Zakopiańska – Wadowicka – Tischnera – Brożka,Piastowska – Lea,5.314704553402557
161,Zakopiańska – Wadowicka – Tischnera – Brożka,Armii Krajowej – Zarzecze,6.2279023261241475
162,Zakopiańska – Wadowicka – Tischnera – Brożka,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,1.7005080051863701
163,Zakopiańska – Wadowicka – Tischnera – Brożka,Piastowska – Armii Krajowej – Nawojki,5.117749959673523
164,Zakopiańska – Wadowicka – Tischnera – Brożka,Herberta – Turowicza – Trasa Łagiewnicka,1.7040959365240722
165,Zakopiańska – Wadowicka – Tischnera – Brożka,Witosa – Nowosądecka – Łużycka,2.6801820423667317
166,Zakopiańska – Wadowicka – Tischnera – Brożka,Wielicka – Nowosądecka,3.13256561844997
167,Zakopiańska – Wadowicka – Tischnera – Brożka,Wielicka – Teligi – Kostaneckiego,4.810469402797266
168,Zakopiańska – Wadowicka – Tischnera – Brożka,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,9.39362831393088
169,Zakopiańska – Wadowicka – Tischnera – Brożka,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,7.99784770684747
170,Zakopiańska – Wadowicka – Tischnera – Brożka,al. 29 Listopada – Opolska – Lublańska,6.474263156842777
171,Zakopiańska – Wadowicka – Tischnera – Brożka,Ks. Józefa – Jodłowa,4.988112206896612
172,Zakopiańska – Wadowicka – Tischnera – Brożka,Zakopiańska – Jugowicka – Zawiła,2.5842242910191464
