ID,Location1,Location2,Distance_km,Travel_Time_hr
151,Zakopiańska – Wadowicka – Tischnera – Brożka,al. Mickiewicza – Piłsudskiego – Focha,3.7237891098714537,0:03:46.577888
152,Zakopiańska – Wadowicka – Tischnera – Brożka,al. Mickiewicza – Reymonta,4.241751941848689,0:04:23.871212
153,Zakopiańska – Wadowicka – Tischnera – Brożka,al. Słowackiego – Prądnicka – Długa,5.710553453528493,0:06:09.624921
154,Zakopiańska – Wadowicka – Tischnera – Brożka,Beliny-Prażmowskiego – Brodowicza,5.442055839347753,0:06:09.956680
155,Zakopiańska – Wadowicka – Tischnera – Brożka,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),0.8872194841137451,0:00:49.912935
156,Zakopiańska – Wadowicka – Tischnera – Brożka,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,2.512359250392902,0:02:48.700381
157,Zakopiańska – Wadowicka – Tischnera – Brożka,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,0.8099460843955641,0:00:58.220550
158,Zakopiańska – Wadowicka – Tischnera – Brożka,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,2.6476093126003653,0:02:28.828455
159,Zakopiańska – Wadowicka – Tischnera – Brożka,Bratysławska – Doktora Twardego – Wybickiego,7.046224672115183,0:07:45.793248
160,Zakopiańska – Wadowicka – Tischnera – Brożka,Piastowska – Lea,6.235265008729512,0:06:47.404153
161,Zakopiańska – Wadowicka – Tischnera – Brożka,Armii Krajowej – Zarzecze,7.499932603860292,0:08:18.460219
162,Zakopiańska – Wadowicka – Tischnera – Brożka,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,1.829775186083623,0:01:58.749533
163,Zakopiańska – Wadowicka – Tischnera – Brożka,Piastowska – Armii Krajowej – Nawojki,5.986069630841404,0:06:29.462085
164,Zakopiańska – Wadowicka – Tischnera – Brożka,Herberta – Turowicza – Trasa Łagiewnicka,2.1740599671993186,0:02:12.205150
165,Zakopiańska – Wadowicka – Tischnera – Brożka,Witosa – Nowosądecka – Łużycka,3.8155517873344786,0:03:45.597356
166,Zakopiańska – Wadowicka – Tischnera – Brożka,Wielicka – Nowosądecka,3.7783352246984396,0:03:47.885955
167,Zakopiańska – Wadowicka – Tischnera – Brożka,Wielicka – Teligi – Kostaneckiego,5.596668406485862,0:05:21.316802
168,Zakopiańska – Wadowicka – Tischnera – Brożka,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,10.921803947837292,0:10:23.886245
169,Zakopiańska – Wadowicka – Tischnera – Brożka,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,9.619240255069375,0:08:30.920579
170,Zakopiańska – Wadowicka – Tischnera – Brożka,al. 29 Listopada – Opolska – Lublańska,7.958719933378144,0:08:12.850774
171,Zakopiańska – Wadowicka – Tischnera – Brożka,Ks. Józefa – Jodłowa,6.297518271183257,0:07:21.135162
172,Zakopiańska – Wadowicka – Tischnera – Brożka,Zakopiańska – Jugowicka – Zawiła,2.637257394700466,0:02:31.875287
173,Zakopiańska – Wadowicka – Tischnera – Brożka,Mogilska – Lema – al. Jana Pawła II – Meissnera,7.454343962634166,0:07:59.344679
174,Zakopiańska – Wadowicka – Tischnera – Brożka,Księcia Józefa – Most Zwierzyniecki,3.997594208332983,0:04:25.825099
175,Zakopiańska – Wadowicka – Tischnera – Brożka,Pachońskiego – Sosabowskiego – Trasa Wolbromska,8.57937718034416,0:09:33.273251
176,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,al. Mickiewicza – Piłsudskiego – Focha,3.9500119052496823,0:04:26.303049
